,title,year,genre,country,avg_vote,budget,worlwide_gross_income
60052,J. Edgar,2011,"Biography, Drama, Romance",USA,6.5,35000000,84920539
60070,I'm in Love with a Church Girl,2013,"Crime, Drama, Romance",USA,4.4,5000000,2503392
60091,A Wrinkle in Time,2018,"Adventure, Family, Fantasy",USA,4.2,100000000,132675864
60095,Bleed - Più forte del destino,2016,"Biography, Drama, Sport",USA,6.8,6000000,6698679
60098,Free Birds - Tacchini in fuga,2013,"Animation, Adventure, Comedy",USA,5.8,55000000,110387072
60099,Think Like a Man,2012,"Comedy, Romance",USA,6.6,12000000,96070507
60116,30 Minutes or Less,2011,"Action, Comedy, Crime",USA,6.1,28000000,40662632
60121,Il grande e potente Oz,2013,"Adventure, Family, Fantasy",USA,6.3,215000000,493311825
60123,ParaNorman,2012,"Animation, Adventure, Comedy",USA,7.0,60000000,107139399
60142,Young Adult,2011,"Comedy, Drama",USA,6.2,12000000,22939027
60160,Touchback,2011,"Drama, Family, Fantasy",USA,6.5,5000000,204232
60163,Independence Day - Rigenerazione,2016,"Action, Adventure, Sci-Fi",USA,5.2,165000000,389681935
60186,Chasing Mavericks - Sulla cresta dell'onda,2012,"Biography, Drama, Sport",USA,7.2,20000000,7942116
60191,Courageous - In lotta per capire,2011,"Drama, Fantasy",USA,7.0,2000000,35185884
60213,Amici di letto,2011,"Comedy, Romance",USA,6.5,35000000,149542245
60219,Shark Night - Il lago del terrore,2011,"Horror, Thriller",USA,4.0,25000000,41363927
60228,Violet & Daisy,2011,"Action, Comedy, Crime",USA,6.1,8000000,108139
60246,Project X - Una festa che spacca,2012,Comedy,USA,6.6,12000000,102731865
60256,In Time,2011,"Action, Sci-Fi, Thriller",USA,6.7,40000000,173930596
60258,Quell'idiota di nostro fratello,2011,"Comedy, Drama",USA,6.4,5000000,25804448
60261,Ted,2012,Comedy,USA,6.9,50000000,549368315
60296,Amore e altri guai,2011,"Comedy, Drama",USA,5.7,6600000,38158601
60298,Rampart,2011,"Crime, Drama",USA,5.8,12000000,1567905
60343,Il dittatore,2012,Comedy,USA,6.4,65000000,179379533
60368,Dragon Trainer 2,2014,"Animation, Action, Adventure",USA,7.8,145000000,621537519
60382,Million Dollar Arm,2014,"Biography, Drama, Sport",USA,7.0,25000000,38483455
60392,Colpi da maestro,2012,"Action, Comedy, Sport",USA,6.4,42000000,73100172
60395,La torre nera,2017,"Action, Adventure, Fantasy",USA,5.6,60000000,113231078
60414,"Peace, Love & Misunderstanding",2011,"Comedy, Drama, Music",USA,5.9,10000000,1105020
60418,Diario di una schiappa 2,2011,"Comedy, Family",USA,6.5,21000000,72526996
60424,Super 8,2011,"Action, Adventure, Sci-Fi",USA,7.0,50000000,260095986
