,title,year,genre,country,avg_vote,budget,worlwide_gross_income
64382,The Best Man Holiday,2013,"Comedy, Drama",USA,6.7,17000000,72835710
64384,Di nuovo in gioco,2012,"Drama, Sport",USA,6.8,30000000,48963137
64470,Mr. Right,2015,"Action, Comedy, Romance",USA,6.3,8000000,607595
64488,Hours,2013,"Drama, Thriller",USA,6.4,4000000,801983
64522,Scemo & + scemo 2,2014,Comedy,USA,5.6,40000000,169837010
64523,Inside Out,2015,"Animation, Adventure, Comedy",USA,8.1,175000000,858071350
64525,McFarland,2015,"Biography, Drama, Sport",USA,7.4,17000000,45710059
64526,Hit and Run,2012,"Action, Comedy",USA,6.1,2000000,16816647
64552,Dead Man Down - Il sapore della vendetta,2013,"Action, Crime, Drama",USA,6.5,30000000,18074539
64578,Tammy,2014,"Comedy, Romance",USA,4.9,20000000,100375432
64598,Into the Storm,2014,"Action, Adventure, Drama",USA,5.8,50000000,161502194
64641,Paranormal Activity 4,2012,"Horror, Mystery, Thriller",USA,4.6,5000000,142802657
64660,Vendetta e redenzione,2014,"Action, Crime, Drama",USA,4.5,8000000,38158
64690,Woody Woodpecker,2017,"Comedy, Family",USA,4.1,10000000,15316635
64712,Code Red,2013,"Action, Horror, Sci-Fi",USA,4.2,3000000,62431
64752,Underdogs,2013,"Drama, Family, Sport",USA,5.8,2500000,35271
64769,Re della terra selvaggia,2012,"Adventure, Drama, Fantasy",USA,7.3,1800000,21107746
64784,San Andreas,2015,"Action, Adventure, Drama",USA,6.1,110000000,473990832
64785,Ricomincio da me,2018,"Comedy, Drama, Romance",USA,5.8,16000000,72294066
64859,Jane Got a Gun,2015,"Action, Drama, Western",USA,5.9,25000000,3067531
64866,Self/less,2015,"Action, Mystery, Sci-Fi",USA,6.5,26000000,31807156
64872,The Accountant,2016,"Action, Crime, Drama",USA,7.3,44000000,155160045
64994,Fear Clinic,2014,Horror,USA,4.9,1000000,106974
65020,Bad Words,2013,"Comedy, Drama",USA,6.6,10000000,7804337
65024,Good Kids,2016,"Comedy, Drama",USA,6.1,3000000,23627
65025,Come ammazzare il capo 2,2014,"Comedy, Crime",USA,6.3,42000000,107645357
65028,St. Vincent,2014,"Comedy, Drama",USA,7.2,13000000,54837234
65038,Empire State,2013,"Crime, Drama, Thriller",USA,5.2,11000000,1212500
65052,Metallica Through the Never,2013,Music,USA,7.2,18000000,7975812
65104,American Sniper,2014,"Action, Biography, Drama",USA,7.3,58800000,547426372
65120,Into the Woods,2014,"Adventure, Comedy, Drama",USA,5.9,50000000,212902372
65166,Song One,2014,"Drama, Music",USA,5.8,6000000,408918
65167,Earth to Echo,2014,"Adventure, Family, Sci-Fi",USA,5.8,13000000,45681062
65264,Un weekend da bamboccioni 2,2013,Comedy,USA,5.4,80000000,246984278
65347,Run All Night - Una notte per sopravvivere,2015,"Action, Crime, Drama",USA,6.6,50000000,71561644
65369,Tutte contro lui,2014,"Comedy, Romance",USA,6.0,40000000,196710396
65378,Addicted - Desiderio irresistibile,2014,"Drama, Thriller",USA,5.2,5000000,17534314
65386,The Obama Effect,2012,"Comedy, Drama",USA,1.8,10000000,110904
65463,Madea protezione testimoni,2012,"Comedy, Crime, Drama",USA,4.9,20000000,66899242
65516,Draft Day,2014,"Drama, Sport",USA,6.8,25000000,29824199
65517,Sweetwater,2013,"Thriller, Western",USA,6.2,7000000,6147
65518,Home - A casa,2015,"Animation, Adventure, Comedy",USA,6.6,135000000,386041607
65547,Il domani tra di noi,2017,"Action, Adventure, Drama",USA,6.4,35000000,62832209
65563,Don Jon,2013,"Comedy, Drama, Romance",USA,6.5,3000000,39439355
65572,Velvet - Il prezzo dell'amore,2013,Drama,USA,5.8,2000000,6420
65576,Joker - Wild Card,2015,"Action, Crime, Drama",USA,5.6,30000000,6738764
65580,Rampage: Furia animale,2018,"Action, Adventure, Sci-Fi",USA,6.1,120000000,428028233
65604,Gli stagisti,2013,Comedy,USA,6.3,58000000,93492844
65628,Nightlight,2015,"Horror, Thriller",USA,4.4,2000000,77567
65647,La guerra dei sessi,2014,"Comedy, Romance",USA,5.8,24000000,70181428
65659,Money Monster - L'altra faccia del denaro,2016,"Crime, Drama, Thriller",USA,6.5,27000000,93282604
65681,Ghost Movie,2013,"Comedy, Fantasy, Horror",USA,5.0,2500000,60159584
65693,Big Hero 6,2014,"Animation, Action, Adventure",USA,7.8,165000000,657868146
65722,Il tempo di vincere,2014,"Drama, Sport",USA,6.7,15000000,30138754
65751,Spider-Man: Homecoming,2017,"Action, Adventure, Sci-Fi",USA,7.4,175000000,880166924
65837,Il libro della vita,2014,"Animation, Adventure, Comedy",USA,7.3,50000000,99783556
65875,L'amore bugiardo - Gone Girl,2014,"Drama, Mystery, Thriller",USA,8.1,61000000,369330363
65876,Magic Mike XXL,2015,"Comedy, Drama, Music",USA,5.6,14800000,117813057
65921,A Perfect Man,2013,"Drama, Romance",USA,5.2,5000000,14147
65946,Alla ricerca di Dory,2016,"Animation, Adventure, Comedy",USA,7.3,200000000,1028570889
65956,Natale all'improvviso,2015,"Comedy, Fantasy, Romance",USA,5.8,17000000,42426912
65975,Muppets 2 - Ricercati,2014,"Adventure, Comedy, Crime",USA,6.4,50000000,80383113
66025,Where the Devil Hides,2014,"Horror, Thriller",USA,4.9,7000000,1428494
66050,Americons,2015,"Action, Biography, Crime",USA,5.1,1250000,28782
66053,Minions,2015,"Animation, Adventure, Comedy",USA,6.4,74000000,1159443129
66055,22 Jump Street,2014,"Action, Comedy, Crime",USA,7.0,50000000,331333876
66062,Frozen - Il regno di ghiaccio,2013,"Animation, Adventure, Comedy",USA,7.4,150000000,1280803353
66076,Falcon Rising,2014,"Action, Adventure, Crime",USA,5.8,4500000,267476
66132,Attacco al potere - Olympus Has Fallen,2013,"Action, Thriller",USA,6.5,70000000,170270201
66140,23 Blast,2014,"Drama, Family, Sport",USA,6.5,1000000,549185
66149,Wild,2014,"Biography, Drama",USA,7.1,15000000,52501541
66204,Homefront,2013,"Action, Crime, Thriller",USA,6.5,22000000,48449416
66214,Comportamenti molto... cattivi,2014,"Comedy, Romance",USA,4.4,3000000,422697
66248,Un amore senza fine,2014,"Drama, Romance",USA,6.3,20000000,34718173
66254,Hell Baby,2013,"Comedy, Horror",USA,4.9,2500000,8785
66291,Cinquanta sfumature di grigio,2015,"Drama, Romance, Thriller",USA,4.1,40000000,569651467
66334,The Identical,2014,"Drama, Music",USA,5.2,16000000,2840991
66425,Fottute!,2017,"Action, Adventure, Comedy",USA,4.5,42000000,60845711
66426,Blue Jasmine,2013,Drama,USA,7.3,18000000,99104804
66427,Sotto assedio - White House Down,2013,"Action, Drama, Thriller",USA,6.4,150000000,205366737
66504,Parkland,2013,"Drama, History, Mystery",USA,6.4,10000000,1412181
66525,Mississippi Grind,2015,"Comedy, Drama",USA,6.4,6000000,422746
66568,A piedi nudi,2014,"Comedy, Drama, Romance",USA,6.6,6000000,15071
66588,Rio 2 - Missione Amazzonia,2014,"Animation, Adventure, Comedy",USA,6.3,103000000,498781117
66608,Affare fatto,2015,"Comedy, Drama",USA,5.4,35000000,14431253
66613,Last Ounce of Courage,2012,"Drama, War",USA,3.7,1200000,3329674
66638,La legge della notte,2016,"Action, Crime, Drama",USA,6.4,108000000,22678555
66639,Lo stagista inaspettato,2015,"Comedy, Drama",USA,7.1,35000000,194564672
66675,Runner Runner,2013,"Crime, Thriller",USA,5.6,30000000,62675095
66677,The Disappointments Room,2016,"Drama, Horror, Thriller",USA,3.9,15000000,5745040
66682,Che fine ha fatto Bernadette?,2019,"Comedy, Drama",USA,6.5,20000000,10821453
66688,Lost River,2014,"Drama, Fantasy, Mystery",USA,5.7,2000000,615500
66788,The Forger - Il falsario,2014,"Crime, Drama, Thriller",USA,5.8,15000000,500304
66790,Liberaci dal male,2014,"Horror, Mystery, Thriller",USA,6.2,30000000,87937815
66807,Il castello di vetro,2017,"Biography, Drama",USA,7.1,9000000,22088533
66811,Cavemen,2013,Comedy,USA,5.3,1200000,5948
66834,Coco,2017,"Animation, Adventure, Family",USA,8.4,175000000,807083670
66854,Joe,2013,"Crime, Drama",USA,6.9,4000000,2431443
66857,The Sacrament,2013,"Horror, Thriller",USA,6.1,4000000,9221
66898,High on the Hog,2019,"Action, Crime, Drama",USA,3.7,1200000,45696
66900,Gallows Hill,2013,"Horror, Mystery, Thriller",USA,5.2,2500000,1498262
66904,Dark Skies - Oscure presenze,2013,"Horror, Sci-Fi, Thriller",USA,6.3,3500000,27858103
66908,Le spie della porta accanto,2016,"Action, Comedy",USA,5.9,40000000,29918745
66913,The Girl on the Train,2014,"Action, Thriller",USA,4.3,28000000,3124
66924,Oculus - Il riflesso del male,2013,"Horror, Mystery",USA,6.5,5000000,44459951
66950,Non dico altro,2013,"Comedy, Drama, Romance",USA,7.0,8000000,25288872
67001,Avengers: Age of Ultron,2015,"Action, Adventure, Sci-Fi",USA,7.3,250000000,1402808753
67062,Tracers,2015,"Action, Crime, Drama",USA,5.6,11000000,3340503
67103,Angry Games - La ragazza con l'uccello di fuoco,2013,"Comedy, Sci-Fi",USA,3.2,4500000,3906308
67109,Catch Hell,2014,"Crime, Drama, Thriller",USA,5.5,2500000,37166
67139,Corpi da reato,2013,"Action, Comedy, Crime",USA,6.6,43000000,229930771
67145,Copperhead,2013,Drama,USA,5.5,12000000,171740
67160,A Bit of Bad Luck,2014,"Comedy, Drama, Thriller",USA,4.7,1000000,18089
67299,Benvenuti a ieri,2015,"Drama, Mystery, Sci-Fi",USA,6.4,12000000,33213241
67302,Il duello,2016,"Drama, Western",USA,5.8,10000000,20672
67342,Joy,2015,"Biography, Drama",USA,6.6,60000000,101134059
67361,Snoopy & Friends - Il film dei Peanuts,2015,"Animation, Comedy, Family",USA,7.1,99000000,246233113
67363,Non è romantico?,2019,"Comedy, Fantasy, Romance",USA,5.9,31000000,48791187
67411,Masterminds - I geni della truffa,2016,"Biography, Comedy, Crime",USA,5.8,25000000,29674699
67422,Hateship Loveship,2013,"Drama, Romance",USA,6.1,5000000,83008
67433,The Single Moms Club,2014,"Comedy, Drama",USA,5.3,8000000,16365451
67434,Mai così vicini,2014,"Comedy, Drama, Romance",USA,5.8,18000000,25419147
67454,Paranormal Activity: Dimensione fantasma,2015,"Horror, Mystery, Thriller",USA,4.6,10000000,78903124
67458,Il segnato,2014,"Horror, Mystery, Thriller",USA,5.0,5000000,90894962
67463,The Last Five Years,2014,"Comedy, Drama, Musical",USA,5.9,3500000,292092
67503,The Church,2018,"Horror, Thriller",USA,2.8,1000000,772000
67523,Star Wars - Il risveglio della Forza,2015,"Action, Adventure, Sci-Fi",USA,7.9,245000000,2068224036
67541,Stretch - Guida o muori,2014,"Comedy, Crime",USA,6.5,5000000,4833
67603,Hotel Transylvania 2,2015,"Animation, Comedy, Family",USA,6.7,80000000,474800000
67676,Star Wars - Gli ultimi Jedi,2017,"Action, Adventure, Fantasy",USA,7.0,317000000,1332540187
67677,Star Wars: L'ascesa di Skywalker,2019,"Action, Adventure, Fantasy",USA,6.6,275000000,1074144248
67681,God's Not Dead - Dio non è morto,2014,Drama,USA,4.7,2000000,64676349
67689,Keep Watching,2017,"Horror, Mystery, Thriller",USA,4.3,5000000,94178
67690,Giù le mani dalle nostre figlie,2018,Comedy,USA,6.2,21000000,94017294
67744,Bullet,2014,"Action, Crime, Thriller",USA,4.6,3000000,23730
67808,Un milione di modi per morire nel West,2014,"Comedy, Western",USA,6.1,40000000,87189756
67832,Duri si diventa,2015,"Comedy, Crime",USA,6.0,40000000,111711453
67834,Birdman o (L'imprevedibile virtù dell'ignoranza),2014,"Comedy, Drama",USA,7.7,18000000,103215094
67860,Insospettabili sospetti,2017,"Comedy, Crime",USA,6.6,25000000,84918541
67923,Life After Beth - L'amore ad ogni costo,2014,"Comedy, Fantasy, Horror",USA,5.6,2400000,274717
67930,Quel fantastico peggior anno della mia vita,2015,"Comedy, Drama",USA,7.7,8000000,9074749
67936,Hell or High Water,2016,"Action, Crime, Drama",USA,7.6,12000000,37879877
67938,Whiplash,2014,"Drama, Music",USA,8.5,3300000,48983260
67939,Colpa delle stelle,2014,"Drama, Romance",USA,7.7,12000000,307166834
67944,Freedom,2014,"Drama, Music",USA,6.4,14500000,842740
68042,A Madea Christmas,2013,"Comedy, Drama, Romance",USA,4.9,25000000,53396635
68052,Force of Execution,2013,"Action, Crime",USA,4.4,8000000,87122
68154,Ted 2,2015,Comedy,USA,6.3,68000000,215863606
68155,Un tuffo nel passato 2,2015,"Comedy, Mystery, Sci-Fi",USA,5.1,14000000,13081651
68164,Ben-Hur,2016,"Action, Adventure, Drama",USA,5.7,100000000,94061311
68287,Time Lapse,2014,"Horror, Sci-Fi, Thriller",USA,6.5,5000000,19572
68380,The Boss,2016,Comedy,USA,5.4,29000000,78844582
68382,Game Night - Indovina chi muore stasera?,2018,"Action, Comedy, Crime",USA,6.9,37000000,117679066
68435,Blackhat,2015,"Action, Crime, Thriller",USA,5.4,70000000,19652057
68470,La risposta è nelle stelle,2015,"Drama, Romance",USA,7.1,34000000,62944815
68538,Rosewater,2014,"Biography, Drama",USA,6.6,5000000,3171593
68540,La stirpe del male,2014,"Horror, Mystery, Thriller",USA,4.1,7000000,36921560
68554,Search Party,2014,"Adventure, Comedy",USA,5.6,20000000,118263
68596,La bella e la bestia,2017,"Family, Fantasy, Musical",USA,7.1,160000000,1264064380
68649,Top Five,2014,"Comedy, Romance",USA,6.4,12000000,26117471
68665,The Interview,2014,"Action, Adventure, Comedy",USA,6.5,44000000,11782625
68667,Il drago invisibile,2016,"Action, Adventure, Comedy",USA,6.7,65000000,143695338
68687,The Opposite Sex,2014,Comedy,USA,4.5,3300000,50206
68705,Atlas Shrugged: Part III,2014,"Drama, Mystery, Sci-Fi",USA,4.3,5000000,846704
68771,Mike & Dave - Un matrimonio da sballo,2016,"Comedy, Romance",USA,6.0,33000000,77068246
68793,Ghost Movie 2 - Questa volta è guerra,2014,"Comedy, Fantasy",USA,4.7,4000000,25358716
68821,Amnesiac,2014,"Drama, Horror, Mystery",USA,4.3,3000000,61192
68851,Pitch Perfect 2,2015,"Comedy, Music",USA,6.4,29000000,287144079
68879,Prendimi!,2018,"Action, Comedy",USA,6.5,28000000,78130625
68914,Un poliziotto ancora in prova,2016,"Action, Comedy, Crime",USA,5.9,40000000,124608438
68920,Necropolis - La città dei morti,2014,"Horror, Mystery, Thriller",USA,6.2,5000000,41898409
68921,Wish I Was Here,2014,"Comedy, Drama",USA,6.7,6000000,5670776
68932,Lo sciacallo - Nightcrawler,2014,"Crime, Drama, Thriller",USA,7.9,8500000,47398992
68938,Red Sparrow,2018,"Action, Drama, Thriller",USA,6.6,69000000,151572634
68964,Black or White,2014,Drama,USA,6.6,9000000,21833967
68966,Chef - La ricetta perfetta,2014,"Adventure, Comedy, Drama",USA,7.3,11000000,48428048
68986,99 Homes,2014,Drama,USA,7.1,8000000,1828232
69049,The Signal,2014,"Drama, Mystery, Sci-Fi",USA,6.1,4000000,2595622
69088,The Lazarus Effect,2015,"Horror, Mystery, Sci-Fi",USA,5.2,3300000,38356892
69093,God's Pocket,2014,"Crime, Drama",USA,6.1,1000000,413567
69144,Superfast & Superfurious - Solo party originali,2015,Comedy,USA,4.1,20000000,2075731
69145,Ruth & Alex - L'amore cerca casa,2014,"Comedy, Drama",USA,6.2,6000000,3679847
69168,Tutti vogliono qualcosa,2016,Comedy,USA,6.9,10000000,4644472
69217,Zootropolis,2016,"Animation, Adventure, Comedy",USA,8.0,150000000,1023789075
69238,Greater,2016,"Biography, Family, Sport",USA,7.3,9000000,2000620
69298,Fuga in tacchi a spillo,2015,"Action, Comedy, Crime",USA,5.1,35000000,51380201
69332,Alvin Superstar - Nessuno ci può fermare,2015,"Animation, Adventure, Comedy",USA,5.0,90000000,234798636
69334,Batman v Superman: Dawn of Justice,2016,"Action, Adventure, Sci-Fi",USA,6.4,250000000,873637528
69346,Tempo limite,2016,"Action, Crime, Drama",USA,5.5,16500000,243793
69348,L'incredibile storia di Winter il delfino 2,2014,"Drama, Family",USA,6.4,36000000,57824533
69363,Planes 2 - Missione antincendio,2014,"Animation, Adventure, Comedy",USA,6.0,50000000,146965787
69408,Camp X-Ray,2014,"Drama, War",USA,6.9,1000000,79624
69459,Daylight's End,2016,"Action, Fantasy, Horror",USA,5.4,2000000,11257
69463,Amy,2013,Horror,USA,2.0,2000000,647872
69492,Intruder,2016,"Horror, Mystery, Thriller",USA,3.3,1000000,128788
69493,Mamma che notte!,2014,Comedy,USA,5.4,5000000,10536956
69502,Stonewall,2015,"Drama, History",USA,5.2,13500000,292669
69675,Jackass - Nonno cattivo,2013,Comedy,USA,6.5,15000000,151826547
69722,Creed - Nato per combattere,2015,"Drama, Sport",USA,7.6,35000000,173567581
69744,Kickboxer - La vendetta del guerriero,2016,"Action, Crime, Drama",USA,4.9,10000000,287779
69846,Crazy & Rich,2018,"Comedy, Drama, Romance",USA,6.9,30000000,238538736
69872,Road Hard,2015,Comedy,USA,6.1,1500000,113169
69889,Don't Kill It - Il cacciatore di demoni,2016,"Action, Comedy, Fantasy",USA,5.2,3500000,8196
69949,Beyond the Lights: Trova la tua voce,2014,"Drama, Music, Romance",USA,6.9,7000000,14618727
70003,Into the Ashes,2019,"Crime, Drama, Mystery",USA,5.4,2000000,9687
70017,Unsullied,2014,"Action, Horror, Thriller",USA,4.3,1500000,510957
70133,Rock the Kasbah,2015,"Comedy, Music, War",USA,5.5,15000000,3394174
70169,Diario di una teenager,2015,"Comedy, Drama, Romance",USA,6.9,2000000,1775133
70195,Honeymoon,2014,"Horror, Mystery, Thriller",USA,5.7,1000000,24343
70202,"Men, Women & Children",2014,"Comedy, Drama",USA,6.7,16000000,1705908
70217,Il ragazzo della porta accanto,2015,"Horror, Thriller",USA,4.7,4000000,52425855
70306,L'ultima parola - La vera storia di Dalton Trumbo,2015,"Biography, Drama",USA,7.5,15000000,11430025
70340,Son of God,2014,"Biography, Drama, History",USA,5.7,22000000,70829270
70347,Io sono vendetta,2016,"Action, Crime, Drama",USA,5.4,18000000,228631
70372,Incarnate: Non potrai nasconderti,2016,"Horror, Thriller",USA,5.3,5000000,9037058
70426,Risorto,2016,"Action, Drama, History",USA,6.3,20000000,46432579
70442,It Follows,2014,"Horror, Mystery, Thriller",USA,6.8,1000000,21528593
70444,Submerged,2016,"Action, Thriller",USA,4.1,10000000,20813
70494,The Bounce Back,2016,"Comedy, Romance",USA,5.1,3000000,421404
70540,Brotherly Love,2015,Drama,USA,6.6,1900000,478595
70547,Sully,2016,"Biography, Drama",USA,7.4,60000000,240797623
70590,Bus 657,2015,"Action, Crime, Drama",USA,6.1,8900000,3777046
70605,The Atticus Institute,2015,Horror,USA,5.5,1000000,32521
70609,Piccole donne,2019,"Drama, Romance",USA,7.8,40000000,216601214
70687,Gibby,2016,"Comedy, Family",USA,4.9,1800000,9930
70744,Logan - The Wolverine,2017,"Action, Drama, Sci-Fi",USA,8.1,97000000,619021436
70775,Annabelle,2014,"Horror, Mystery, Thriller",USA,5.4,6500000,257047661
70928,Tolkien,2019,"Biography, Drama, Romance",USA,6.8,20000000,9090040
70956,Max,2015,"Adventure, Drama, Family",USA,6.7,20000000,43967255
70993,X-Men: Apocalisse,2016,"Action, Adventure, Sci-Fi",USA,6.9,178000000,543934105
71003,Jukai - La foresta dei suicidi,2016,"Horror, Mystery, Thriller",USA,4.8,10000000,39712000
71004,The Taking,2014,"Horror, Mystery, Thriller",USA,6.0,1500000,407782
71078,Botte da prof.,2017,Comedy,USA,5.6,22000000,41087017
71110,The Divergent Series: Allegiant,2016,"Action, Adventure, Mystery",USA,5.7,110000000,179246868
71134,L'era glaciale - In rotta di collisione,2016,"Animation, Adventure, Comedy",USA,5.7,105000000,408579038
71177,Havenhurst,2016,"Horror, Mystery, Thriller",USA,4.8,3000000,289299
71226,Cake,2014,Drama,USA,6.4,7000000,2433850
71263,Il superpoliziotto del supermercato 2,2015,"Action, Comedy, Crime",USA,4.4,30000000,107588225
71264,La foresta dei sogni,2015,"Drama, Fantasy, Mystery",USA,6.1,25000000,906995
71302,The Lucky Man,2017,"Action, Drama, Sci-Fi",USA,5.6,1000000,25015
71309,The Hateful Eight,2015,"Crime, Drama, Mystery",USA,7.8,44000000,155762510
71317,L'amore criminale,2017,"Drama, Thriller",USA,5.1,12000000,17768012
71346,Cattivissimo me 3,2017,"Animation, Adventure, Comedy",USA,6.3,80000000,1034799409
71412,Vice,2015,"Action, Adventure, Sci-Fi",USA,4.2,10000000,1568954
71448,The Walk,2015,"Adventure, Biography, Drama",USA,7.3,35000000,61181942
71476,Captain America: Civil War,2016,"Action, Adventure, Sci-Fi",USA,7.8,250000000,1153332120
71494,Security,2017,"Action, Crime, Thriller",USA,5.7,15000000,776522
71498,Thor: Ragnarok,2017,"Action, Adventure, Comedy",USA,7.9,180000000,853979142
71506,Oggi è sempre Natale,2016,"Comedy, Family",USA,4.2,2000000,11972
71545,Close Range,2015,"Action, Crime, Thriller",USA,5.0,3000000,248978
71553,Richard Jewell,2019,"Biography, Crime, Drama",USA,7.5,45000000,43745542
71576,I combattenti,2015,Action,USA,4.6,1000000,53752
71581,The Disaster Artist,2017,"Biography, Comedy, Drama",USA,7.4,10000000,29820616
71583,Oceania,2016,"Animation, Adventure, Comedy",USA,7.6,150000000,643347400
71636,Sballati per le feste!,2015,"Comedy, Fantasy",USA,6.4,25000000,52395996
71650,Nerve,2016,"Adventure, Crime, Drama",USA,6.5,19000000,85251425
71720,Whiskey Tango Foxtrot,2016,"Biography, Comedy, Drama",USA,6.6,35000000,24972139
71762,Arise from Darkness,2016,Thriller,USA,7.6,1200000,6112
71780,The Visit,2015,"Horror, Mystery, Thriller",USA,6.2,5000000,98450062
71918,Cars 3,2017,"Animation, Adventure, Comedy",USA,6.7,175000000,383930656
71919,Gli Incredibili 2,2018,"Animation, Action, Adventure",USA,7.6,200000000,1242805359
71978,Città di carta,2015,"Comedy, Drama, Mystery",USA,6.3,12000000,85512300
71981,Dove eravamo rimasti,2015,"Comedy, Drama, Music",USA,5.9,18000000,41325328
72003,La bottega del barbiere 3,2016,"Comedy, Drama",USA,5.9,20000000,55030051
72100,Conspiracy - La Cospirazione,2016,"Crime, Drama, Mystery",USA,5.3,11000000,2049761
72246,Criminal Activities,2015,"Crime, Drama, Thriller",USA,5.8,7000000,171494
72248,The Runner,2015,Drama,USA,4.7,6000000,93296
72318,Vincent N Roxxy,2016,"Crime, Drama, Thriller",USA,5.5,2600000,23896
72354,The Hollars,2016,"Comedy, Drama, Romance",USA,6.5,3800000,1138609
72358,Irrational Man,2015,"Comedy, Drama, Romance",USA,6.6,11000000,27391084
72368,Underworld: Blood Wars,2016,"Action, Adventure, Fantasy",USA,5.8,35000000,81093313
72384,My All-American,2015,"Biography, Drama, Sport",USA,7.2,20000000,2246000
72424,Life on the Line,2015,"Action, Thriller",USA,5.2,12000000,39027
72431,La scomparsa di Eleanor Rigby - Loro,2014,"Drama, Romance",USA,6.3,3000000,1448076
72453,I corrotti - The Trust,2016,"Crime, Drama, Thriller",USA,5.4,9000000,321650
72473,Il destino di un soldato,2017,"Drama, War",USA,5.7,12000000,57946
72511,Rogue One: A Star Wars Story,2016,"Action, Adventure, Sci-Fi",USA,7.8,200000000,1056057720
72569,The Equalizer 2: Senza perdono,2018,"Action, Crime, Thriller",USA,6.7,62000000,190400157
72571,"Hello, My Name Is Doris",2015,"Comedy, Drama, Romance",USA,6.6,1000000,14659448
72608,Dead Awake,2016,"Horror, Thriller",USA,4.6,24000000,21675
72613,Solo: A Star Wars Story,2018,"Action, Adventure, Sci-Fi",USA,6.9,275000000,392924807
72679,The Nice Guys,2016,"Action, Comedy, Crime",USA,7.4,50000000,62788218
72800,Fire Squad - Incubo di fuoco,2017,"Action, Biography, Drama",USA,7.6,38000000,26351322
72817,Le armi del cuore,2015,Drama,USA,6.5,3000000,73256266
72853,Yoga Hosers - Guerriere per sbaglio,2016,"Action, Comedy, Fantasy",USA,4.3,5000000,36585
72893,Dope: Follia e riscatto,2015,"Comedy, Crime, Drama",USA,7.2,7000000,17986781
72896,Krampus: Natale non è sempre Natale,2015,"Comedy, Drama, Fantasy",USA,6.1,15000000,61548707
72907,The Tiger Hunter,2016,Comedy,USA,5.9,1250000,62398
72932,The Bronze: Sono la numero 1,2015,"Comedy, Drama, Sport",USA,6.1,3500000,615816
72946,The Perfect Guy,2015,"Crime, Drama, Horror",USA,5.6,12000000,60273173
72954,Lazer Team,2015,"Action, Comedy, Sci-Fi",USA,5.6,2480421,1406538
72955,Il cardellino,2019,Drama,USA,6.3,45000000,9932621
72985,Baby boss,2017,"Animation, Adventure, Comedy",USA,6.3,125000000,527965936
73010,Stronger - Io sono più forte,2017,"Biography, Drama",USA,6.9,30000000,8503658
73072,Guardiani della Galassia Vol. 2,2017,"Action, Adventure, Comedy",USA,7.6,200000000,863756051
73098,Vigilante Diaries,2016,"Action, Crime, Thriller",USA,5.5,1000000,176777
73170,Brian Banks,2018,"Biography, Drama, Sport",USA,7.2,10000000,4376819
73185,Lo spazio che ci unisce,2017,"Drama, Romance, Sci-Fi",USA,6.4,30000000,16080475
73251,American Dresser,2018,Adventure,USA,5.2,18000000,3895
73439,Nell'ombra di un delitto,2016,"Crime, Drama, Mystery",USA,4.3,6000000,269915
73485,Manchester by the Sea,2016,Drama,USA,7.8,9000000,78988148
73522,Maze Runner - La fuga,2015,"Action, Adventure, Sci-Fi",USA,6.3,61000000,312296056
73541,Paradise Beach: Dentro l'incubo,2016,"Drama, Horror, Thriller",USA,6.3,17000000,119100758
73547,Do You Believe?,2015,Drama,USA,6.1,2300000,14410698
73572,Go with Me - Sul sentiero della vendetta,2015,"Drama, Thriller",USA,5.3,8000000,426491
73582,Green Room,2015,"Horror, Music, Thriller",USA,7.0,5000000,3769214
73597,Miles,2016,"Comedy, Drama, Family",USA,5.7,2000000,2537
73615,Darkest Minds,2018,"Action, Adventure, Drama",USA,5.7,34000000,41142379
73717,Per sempre la mia ragazza,2018,"Drama, Music, Romance",USA,6.7,3500000,16376066
73792,After,2019,"Drama, Romance",USA,5.4,14000000,69733482
73829,Keanu,2016,"Action, Comedy, Crime",USA,6.2,15000000,20651333
73864,Avengers: Infinity War,2018,"Action, Adventure, Sci-Fi",USA,8.4,321000000,2048359754
73865,Avengers: Endgame,2019,"Action, Adventure, Drama",USA,8.4,356000000,2797800564
73879,3 Generations: Una famiglia quasi perfetta,2015,Drama,USA,5.9,5000000,680351
73968,Valley of Bones,2017,"Crime, Thriller, Western",USA,4.2,3000000,168738
73981,Woodlawn,2015,"Drama, Sport",USA,6.5,12000000,14401617
74029,Mr. Church,2016,"Comedy, Drama",USA,7.6,8000000,685780
74144,Beta Test,2016,"Action, Sci-Fi, Thriller",USA,5.7,1600000,10104
74173,Kicks,2016,"Adventure, Drama",USA,6.4,2000000,150191
74182,Miracoli dal cielo,2016,"Biography, Drama, Family",USA,7.1,13000000,73983003
74188,2307: Winter's Dream,2016,Sci-Fi,USA,3.8,1200000,5078
74410,The Bad Batch,2016,"Drama, Horror, Romance",USA,5.3,6000000,201890
74419,90 minuti in Paradiso,2015,Drama,USA,4.8,5000000,4842699
74426,Echo Effect,2015,"Action, Thriller",USA,3.5,5000000,49286
74428,Queen of Katwe,2016,"Biography, Drama, Sport",USA,7.4,15000000,10367161
74461,Ouija: L'origine del male,2016,"Drama, Horror, Mystery",USA,6.1,9000000,81705746
74468,In viaggio verso un sogno - The Peanut Butter Falcon,2019,"Comedy, Drama",USA,7.6,6200000,23620709
74489,Because of Grácia,2017,"Comedy, Drama, Romance",USA,6.3,1200000,90878
74531,Le donne della mia vita,2016,"Comedy, Drama",USA,7.3,7000000,7214806
